ID,OrganizationName,OrganizationType,Address,Address2,City,State,ZipCode,OrgPhone,PCUseRestrictions,HardwarePublic,AssistiveTechnology,InternetUpload,InternetDownload,VolunteersUsed,VolunteersUsedHow,VolunteersWantedHow,Longitude,Latitude,PublicWiFiDetail,NearestParking,NearestParkingDetail,HandicapAccessDetail,PublicTransportationDetail,TimeAllowedPerUser,TimeAllowedPerUserDetail,RoomList,Hours,WEBSITE,HOURS,APPOINTMENT,INTERNET,WIFI,TRAINING
1010,Richard J. Daley College,City Colleges of Chicago,7500 S. Pulaski Ave.,  ,Chicago,IL,60652,773-838-7500,- No downloading of music or installation of p2p (peer-to-peer) applications or any software is allowed. No cell phone usage or permitte No food or drink is permitted. No children are permitted. Noise levels and talking should be kept to a minimum. ,90,"Jaws, ZoomText",57.79,68.74,no,  ,  ,-87.7238989,41.7561784,"Free wi-fi, great signal strength",Free,Student parking lot,"Push button doors, ramps, and restrooms","CTA, buses drop off at front entrance",unlimited,TBD,  ,"Monday 8am-10pm 

Tuesday 8am-10pm 

Wednesday 8am-10pm 

Thursday 8am-10pm 

Friday 8am-5pm 

Saturday 9am-1pm ",,,,,,
1011,Arturo Velasquez Institute (AVI),City Colleges of Chicago,2800 S. Western Avenue,  ,Chicago,IL,60608,773-838-4500,â€¢No downloading of music or installation of p2p (peer-to-peer) applications â€¢No cell phone usage or permitted â€¢No food or drink is permitted. â€¢No children are permitted. â€¢Noise levels and talking should be kept to a minimum. User must follow CCC Computing Usage Policy ,100,  ,64.78 Mbps,76.48 Mbps ,no,  ,  ,-87.6860628,41.8410806,CCC free public access. No access code required ,Free,Building has parking at either end of building ,Door are handicapped accessible ,Western Avenue bus,Timed,Classes are held in labs and library and given priority. ,1st Floor  2nd Floor,"Monday 8am-10pm 

Tuesday 8am-10pm 

Wednesday 8am10pm 

Thursday 8am10pm ",,,,,,
1012,Wilbur Wright College,City Colleges of Chicago,4300 N. Narragansett,  ,Chicago,IL,60634,773-481-8752,No food or drinks allowed. Headphones need to be used and volume needs to be low. No use of P2P services or file sharing. Lab policies are posted throughout resource center.,226,Jaws,44Mbps,71Mbps,no,  ,  ,-87.788326,41.95882,"WPA, CCCFREE (free access throught), strenght great",Free,1500 parking spaces,"Doors, ramps, and restrooms.","CTA, bus stops inside lot",unlimited,No restricitions,CafÃ©/Learning Resource Center Loby  Community Lab  Library  Open Lab,"Monday 8am-9:00pm 

Tuesday 8am-9:30pm 

Wednesday 8am-9:30pm 

Thursday 8am-9:30pm 

Friday 8am-4pm 

Saturday 8am-4pm ",,,,,,
1013,Humbolt Park Vocational Center,City Colleges of Chicago,1645 N. California Ave.,  ,Chicago,IL,60647,773-489-8989,  ,25,Jaws,48.80 Mbps,83.07 Mbps,no,  ,  ,-87.6969972,41.9116305,Securtiy and Strength,Free,100,Doors,CTA,unlimited,Open Lab,  ,"Monday 8am-10pm 

Tuesday 8am-10pm 

Wednesday 8am-10pm 

Thursday 8am-10pm 

Friday 8am-7pm 

Saturday 8am-2pm ",,,,,,
1014,Albany Park,Chicago Public Library,5150 N. Kimball Avenue,  ,Chicago,IL,60625,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7137659,41.9755903,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1015,Altgeld,Chicago Public Library,901 E. 133rd Place,  ,Chicago,IL,60827,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.5997964,41.6537527,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1016,Archer Heights,Chicago Public Library,5055 S. Archer Avenue,  ,Chicago,IL,60632,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7264961,41.8012284,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1017,Austin,Chicago Public Library,5615 W. Race Avenue,  ,Chicago,IL,60644,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.766925,41.889135,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1018,Austin-Irving,Chicago Public Library,6100 W. Irving Park Road,  ,Chicago,IL,60634,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7797481,41.9531653,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1019,Avalon,Chicago Public Library,8148 S. Stony Island Avenue,  ,Chicago,IL,60617,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.58621,41.746338,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1020,Back of the Yards,Chicago Public Library,4650 S. Damen Avenue,  ,Chicago,IL,60609,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.674969,41.8093211,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1021,Beverly,Chicago Public Library,2121 W. 95th Street,  ,Chicago,IL,60643,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6756324,41.7209571,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1022,Bezazian,Chicago Public Library,1226 W. Ainslie Street,  ,Chicago,IL,60640,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6605604,41.9715737,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1023,Blackstone,Chicago Public Library,4904 S. Lake Park Avenue,  ,Chicago,IL,60615,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.590282,41.805836,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1024,Brainerd,Chicago Public Library,1350 W. 89th Street,  ,Chicago,IL,60620,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6578692,41.7323691,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1025,Brighton Park,Chicago Public Library,4314 S. Archer Avenue,  ,Chicago,IL,60632,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7031172,41.8149561,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1026,Bucktown-Wicker Park,Chicago Public Library,1701 N. Milwaukee Avenue,  ,Chicago,IL,60647,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6803364,41.9122696,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1027,Budlong Woods,Chicago Public Library,5630 N. Lincoln Avenue,  ,Chicago,IL,60659,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6961283,41.9837065,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1028,Canaryville,Chicago Public Library,642 W. 43rd Street,  ,Chicago,IL,60609,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6425503,41.8162511,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1029,Chicago Bee,Chicago Public Library,3647 S. State Street,  ,Chicago,IL,60609,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6263139,41.8279571,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1030,Chicago Lawn,Chicago Public Library,6120 S. Kedzie Avenue,  ,Chicago,IL,60629,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7033504,41.7818994,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1031,Chinatown,Chicago Public Library,2353 S. Wentworth Avenue,  ,Chicago,IL,60616,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6316702,41.848912,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1032,Clearing,Chicago Public Library,6423 W. 63rd Place,  ,Chicago,IL,60638,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7821117,41.7767735,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1033,Coleman,Chicago Public Library,731 E. 63rd Street,  ,Chicago,IL,60637,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6071658,41.7803843,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1034,Daley,Chicago Public Library,3400 S. Halsted Street,  ,Chicago,IL,60608,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6462758,41.8325692,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1035,Douglass,Chicago Public Library,3353 W. 13th Street,  ,Chicago,IL,60623,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7096392,41.8645217,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1036,Dunning,Chicago Public Library,7455 W. Cornelia Avenue,  ,Chicago,IL,60634,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.8138528,41.9431863,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1037,Edgebrook,Chicago Public Library,5331 W. Devon Avenue,  ,Chicago,IL,60646,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.762198,41.996987,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1038,Edgewater,Chicago Public Library,1210 W. Elmdale Avenue,  ,Chicago,IL,60660,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6607446,41.9909254,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1039,Gage Park,Chicago Public Library,2807 W. 55th Street,  ,Chicago,IL,60632,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.694126,41.793424,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1040,Galewood-Mont Clare,Chicago Public Library,6969 W. Grand Avenue,  ,Chicago,IL,60707,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.800483,41.923189,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1041,Garfield Ridge,Chicago Public Library,6348 S. Archer Avenue,  ,Chicago,IL,60638,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7803109,41.7928604,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1042,Greater Grand Crossing,Chicago Public Library,1000 E. 73rd Street,  ,Chicago,IL,60619,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6005806,41.7623041,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1043,Hall,Chicago Public Library,4801 S. Michigan Avenue,  ,Chicago,IL,60615,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.62275,41.8074463,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1044,Harold Washington-HWLC,Chicago Public Library,400 S. State Street,  ,Chicago,IL,60605,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6282728,41.8762316,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1045,Hegewisch,Chicago Public Library,3048 E. 130th Street,  ,Chicago,IL,60633,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.5488831,41.659276,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1046,Humboldt Park,Chicago Public Library,1605 N. Troy Street,  ,Chicago,IL,60647,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7056411,41.910242,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1047,Independence,Chicago Public Library,3548 W. Irving Park Road,  ,Chicago,IL,60618,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7174661,41.9539814,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1048,Jefferson Park,Chicago Public Library,5363 W. Lawrence Avenue,  ,Chicago,IL,60630,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7619104,41.9674386,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1049,Jeffery Manor,Chicago Public Library,2401 E. 100th Street,  ,Chicago,IL,60617,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.565756,41.7135063,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1050,Kelly,Chicago Public Library,6151 S. Normal Boulevard,  ,Chicago,IL,60621,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6375222,41.7823511,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1051,King,Chicago Public Library,3436 S. King Drive,  ,Chicago,IL,60616,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6173462,41.8319935,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1052,Legler,Chicago Public Library,115 S. Pulaski Road,  ,Chicago,IL,60624,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7254183,41.8793131,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1053,Lincoln Belmont,Chicago Public Library,1659 W. Melrose Street,  ,Chicago,IL,60657,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6708157,41.9405665,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1054,Lincoln Park,Chicago Public Library,1150 W. Fullerton Avenue,  ,Chicago,IL,60614,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.658094,41.925462,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1055,Little Village,Chicago Public Library,2311 South Kedize Avenue,  ,Chicago,IL,60623,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7051227,41.8495557,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1056,Logan Square,Chicago Public Library,3030 W. Fullerton Avenue,  ,Chicago,IL,60647,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.703688,41.9249674,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1057,Lozano,Chicago Public Library,1805 S. Loomis Street,  ,Chicago,IL,60608,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.660933,41.8576229,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1058,Manning,Chicago Public Library,6 S. Hoyne Avenue,  ,Chicago,IL,60612,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6793362,41.881136,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1059,Mayfair,Chicago Public Library,4400 W. Lawrence Avenue,  ,Chicago,IL,60630,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7381352,41.9682266,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1060,McKinley Park,Chicago Public Library,1915 W. 35th Street,  ,Chicago,IL,60609,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.673438,41.830142,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1061,Merlo,Chicago Public Library,644 W. Belmont Avenue,  ,Chicago,IL,60657,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6461346,41.9401029,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1062,Mount Greenwood,Chicago Public Library,11010 S. Kedzie Avenue,  ,Chicago,IL,60655,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7007502,41.6932689,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1063,Near North,Chicago Public Library,310 W. Division Street,  ,Chicago,IL,60610,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6365512,41.9038867,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1064,North Austin,Chicago Public Library,5724 W. North Avenue,  ,Chicago,IL,60639,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7687268,41.9095101,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1065,North Pulaski,Chicago Public Library,4300 W. North Avenue,  ,Chicago,IL,60639,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.734039,41.91011,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1066,Northtown,Chicago Public Library,6435 N. California Avenue,  ,Chicago,IL,60645,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6995525,41.9987833,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1067,Oriole Park,Chicago Public Library,7454 W. Balmoral Avenue,  ,Chicago,IL,60656,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.813301,41.9780382,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1068,Portage-Cragin,Chicago Public Library,5108 W. Belmont Avenue,  ,Chicago,IL,60641,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7549437,41.9388347,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1069,Pullman,Chicago Public Library,11001 S. Indiana Avenue,  ,Chicago,IL,60628,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6181552,41.694383,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1070,Roden,Chicago Public Library,6083 N. Northwest Highway,  ,Chicago,IL,60631,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7981044,41.9919589,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1071,Rogers Park,Chicago Public Library,6907 N. Clark Street,  ,Chicago,IL,60626,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.673345,42.006783,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1072,Roosevelt,Chicago Public Library,1101 W. Taylor Street,  ,Chicago,IL,60607,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6545135,41.8693809,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1073,Scottsdale,Chicago Public Library,4101 W. 79th Street,  ,Chicago,IL,60652,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.724307,41.7493853,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1074,Sherman Park,Chicago Public Library,5440 S. Racine Avenue,  ,Chicago,IL,60609,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6550016,41.7947794,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1075,South Chicago,Chicago Public Library,9055 S. Houston Avenue,  ,Chicago,IL,60612,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.549561,41.7302138,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1076,South Shore,Chicago Public Library,2505 E. 73rd Street,  ,Chicago,IL,60649,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.5639241,41.7626314,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1077,Sulzer Regional,Chicago Public Library,4455 N. Lincoln Avenue,  ,Chicago,IL,60625,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6842925,41.9625911,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1078,Thurgood Marshall,Chicago Public Library,7506 S. Racine Avenue,  ,Chicago,IL,60620,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6539113,41.7575921,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1079,Toman,Chicago Public Library,2708 S. Pulaski Road,  ,Chicago,IL,60623,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.724832,41.842065,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1080,Uptown,Chicago Public Library,929 W. Buena Avenue,  ,Chicago,IL,60613,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6541627,41.9583374,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1081,Vodak-East Side,Chicago Public Library,3710 E. 106th Street,  ,Chicago,IL,60617,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.5335433,41.7028472,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1082,Walker,Chicago Public Library,11071 S. Hoyne Avenue,  ,Chicago,IL,60643,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6740299,41.6920796,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1083,Water Works,Chicago Public Library,163 E. Pearson Street,  ,Chicago,IL,60611,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.623225,41.897207,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1084,West Belmont,Chicago Public Library,3104 N. Narragansett Avenue,  ,Chicago,IL,60634,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7860363,41.9367378,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1085,West Chicago Avenue,Chicago Public Library,4856 W. Chicago Avenue,  ,Chicago,IL,60651,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7479503,41.8949934,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1086,West Englewood,Chicago Public Library,1745 W. 63rd Street,  ,Chicago,IL,60636,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6681707,41.7792841,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1087,West Humboldt Park,Chicago Public Library,733 N. Kedzie Avenue,  ,Chicago,IL,60612,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7064614,41.8943707,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1088,West Lawn,Chicago Public Library,4020 W. 63rd Street,  ,Chicago,IL,60629,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.7235322,41.7787228,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1089,West Pullman,Chicago Public Library,830 W. 119th Street,  ,Chicago,IL,60643,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6432013,41.6778056,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1090,West Town,Chicago Public Library,1625 W. Chicago Avenue,  ,Chicago,IL,60622,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.668496,41.895745,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1091,"Whitney M. Young, Jr.",Chicago Public Library,7901 S. King Drive,  ,Chicago,IL,60619,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6149161,41.7511027,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1092,Woodson Regional,Chicago Public Library,9525 S. Halsted Street,  ,Chicago,IL,60628,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6430487,41.7197665,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1093,Wrightwood-Ashburn,Chicago Public Library,8530 S. Kedzie Avenue,  ,Chicago,IL,60652,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.702275,41.7375843,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1094,Abbot Park Senior Satellite Center,Senior Center,49 E. 95th St,  ,Chicago,IL,60619,312-745-3493,Users must be 55 and older.,6,not purchased yet,1.5 Mbps,up to 6 Mbps,yes,general senior center assistance,  ,-87.6221453,41.7215401,not activated yet,Free,  ,  ,  ,Timed,4 hour labs,  ,"Monday 8 to 4 

Tuesday 8 to 4 

Wednesday 8 to 4 

Thursday 8 to 4 

Friday 8 to 4 ",,,,,,
