person_id,leuven_id,person_name
663087,656303,Alcatel N. V.
663088,656303,Alcatel N. V.
663139,656303,"ALCATEL, N.V."
663141,656303,ALCATEL N.V
663155,656303,ALCATEL N.V.
663158,656303,ALCATEL N.V.
663161,656303,ALCATEL N.V.
663162,656303,ALCATEL N.V.
663163,656303,ALCATEL N.V.
663164,656303,ALCATEL N.V.
663165,656303,ALCATEL N.V.
663166,656303,ALCATEL N.V.
663167,656303,ALCATEL N.V.
663168,656303,ALCATEL N.V.
663169,656303,ALCATEL N.V.
663170,656303,ALCATEL N.V.
663172,656303,ALCATEL N.V.
663173,656303,ALCATEL N.V.
663174,656303,ALCATEL N.V.
663175,656303,ALCATEL N.V.
663176,656303,ALCATEL N.V.
663178,656303,ALCATEL N.V.
663179,656303,ALCATEL N.V.
663180,656303,ALCATEL N.V.
663181,656303,ALCATEL N.V.
663183,656303,ALCATEL N.V.
663185,656303,ALCATEL N.V.
663188,656303,ALCATEL N.V.
663190,656303,ALCATEL N.V.
663191,656303,ALCATEL N.V.
663192,656303,ALCATEL N.V.
663193,656303,ALCATEL N.V.
663194,656303,ALCATEL N.V.
663198,656303,"ALCATEL N.V.,"
663199,656303,"ALCATEL N.V.,"
663200,656303,"ALCATEL N.V.,"
663201,656303,"ALCATEL N.V.,"
663203,656303,"ALCATEL N.V.,,"
663214,656303,ALCATEL NV
663217,656303,ALCATEL NV.
663218,656303,ALCATEL NV.-
663219,656303,"Alcatel, N.V."
663220,656303,"Alcatel, N.V."
663221,656303,"Alcatel, N.V."
663222,656303,Alcatel N.V
663229,656303,Alcatel N.V.
663230,656303,Alcatel N.V.
663231,656303,Alcatel N.V.
663232,656303,Alcatel N.V.
663233,656303,Alcatel N.V.
663234,656303,Alcatel N.V.
663235,656303,Alcatel N.V.
663236,656303,Alcatel N.V.
663237,656303,Alcatel N.V.
663238,656303,Alcatel N.V.
663239,656303,Alcatel N.V.
663240,656303,Alcatel N.V.
663241,656303,Alcatel N.V.
663243,656303,Alcatel N.V.
663245,656303,Alcatel NV
663246,656303,Alcatel NV
663247,656303,Alcatel NV
663248,656303,Alcatel n.V.
663249,656303,Alcatel n.v.
663250,656303,"ALCATEL N.V., AMSTERDAM"
663253,656303,"ALCATEL N.V., AMSTERDAM, NL"
663254,656303,"ALCATEL N.V., RIJSWIJK"
663255,656303,"ALCATEL N.V., RIJSWIJK, NL"
663262,656303,"ALCATEL N.V.,NL"
665760,867556,ALCOA NEDERLAND B. V.
665761,867556,ALCOA NEDERLAND B.V
665764,867556,ALCOA NEDERLAND B.V.
665765,867556,ALCOA NEDERLAND B.V.
665766,867556,ALCOA NEDERLAND B.V.
665767,867556,ALCOA NEDERLAND B.V.
665768,867556,ALCOA NEDERLAND B.V.
665769,867556,ALCOA NEDERLAND B.V.
665771,867556,ALCOA NEDERLAND BV
665772,867556,ALCOA NEDERLAND BV.
665773,867556,Alcoa Nederland B.V.
665774,867556,Alcoa Nederland B.V.
665781,867556,ALCOA NEDERLAND NV
777218,656303,AL'KATEL' N.V.
777219,656303,ALKATEL N.V.
856660,848003,ALSTOM NV
956583,945661,AMP-HOLLAND B.V.
956587,945661,"AMP-HOLLAND B.V., HERTOGENBOSCH, NL"
1354270,1344081,ARCELIK ANONIM SIRKETI
1571615,173039,ASEA BROWN BOVERI AG
1598770,1584805,ASML  NETHERLANDS B.V.
1598841,1584805,"ASML HOLLAND, B.V."
1598842,1584805,ASML HOLLAND B.V.
1598845,1584805,ASML HOLLAND N.V.
1598892,1584805,ASML NETHERLAND B. V.
1598894,1584805,ASML NETHERLAND B.V.
1598895,1584805,ASML NETHERLAND B.V.
1598897,1584805,ASML NETHERLAND BV
1598898,1584805,ASML Netherland B.V.
1598900,1584805,ASML NETHERLANDS
1598901,1584805,ASML Netherlands
1598902,1584805,ASML Netherlands
1598903,1584805,ASML Netherlands
1598904,1584805,ASML NETHERLANDS  B.V.
1598905,1584805,ASML Netherlands  B.V.
1598907,1584805,ASML NETHERLANDS B. V.
1598908,1584805,ASML NETHERLANDS B. V.
1598909,1584805,"ASML NETHERLANDS B. V.,"
1598911,1584805,ASML Netherlands B. V.
1598913,1584805,"ASML, Netherlands B.V."
1598914,1584805,"ASML NETHERLANDS, B.V."
1598916,1584805,ASML NETHERLANDS B.V
1598917,1584805,ASML NETHERLANDS B.V
1598919,1584805,ASML NETHERLANDS B.V.
1598920,1584805,ASML NETHERLANDS B.V.
1598921,1584805,ASML NETHERLANDS B.V.
1598922,1584805,ASML NETHERLANDS B.V.
1598923,1584805,ASML NETHERLANDS B.V.
1598924,1584805,ASML NETHERLANDS B.V.
1598925,1584805,ASML NETHERLANDS B.V.
1598926,1584805,ASML NETHERLANDS B.V.
1598927,1584805,ASML NETHERLANDS B.V.
1598928,1584805,ASML NETHERLANDS B.V.
1598929,1584805,ASML NETHERLANDS B.V.
1598931,1584805,"ASML NETHERLANDS B.V.,"
1598933,1584805,ASML NETHERLANDS BV
1598934,1584805,ASML NETHERLANDS BV
1598935,1584805,"ASML Netherlands, B.V."
1598936,1584805,"ASML Netherlands, B.V."
1598937,1584805,ASML Netherlands B.V
1598938,1584805,"ASML Netherlands B.V,"
1598941,1584805,ASML Netherlands B.V.
1598942,1584805,ASML Netherlands B.V.
1598943,1584805,ASML Netherlands B.V.
1598944,1584805,ASML Netherlands B.V.
1598945,1584805,ASML Netherlands B.V.
1598946,1584805,ASML Netherlands B.V.
1598947,1584805,ASML Netherlands B.V.
1598948,1584805,ASML Netherlands B.V.
1598949,1584805,ASML Netherlands B.V.
1598950,1584805,ASML Netherlands B.V.
1598951,1584805,ASML Netherlands B.V.
1598952,1584805,ASML Netherlands B.V.
1598953,1584805,ASML Netherlands B.V.
1598954,1584805,ASML Netherlands B.V.
1598955,1584805,ASML Netherlands B.V.
1598956,1584805,ASML Netherlands B.V.
1598957,1584805,ASML Netherlands B.V.
1598958,1584805,ASML Netherlands B.V.
1598959,1584805,ASML Netherlands B.V.
1598960,1584805,ASML Netherlands B.V.
1598961,1584805,ASML Netherlands B.V.
1598962,1584805,ASML Netherlands B.V.
1598963,1584805,ASML Netherlands B.V.
1598964,1584805,ASML Netherlands BV
1598965,1584805,ASML Netherlands BV
1598966,1584805,ASML Netherlands BV
1598967,1584805,ASML Netherlands BV
1598968,1584805,ASML Netherlands BV
1598969,1584805,ASML Netherlands BV
1598970,1584805,ASMl Netherlands B.V.
1598971,1584805,"Asml Netherlands, B.V."
1598972,1584805,Asml Netherlands B.V.
1598978,1584805,"ASML NETHERLANDS B.V., VELDHOVEN"
1598986,1584805,"ASML NETHERLANDS CO., LTD."
1598987,1584805,ASML NETHERLANDS N.V.
1598988,1584805,ASML Netherlands-B.V.
1598998,1584805,"ASML US, Inc."
1620441,1606297,"ASTRA, AB"
1956544,1945987,BAKER HUGHES INCORPORATED
2228605,2219999,Basell Poliolefine Italia S.p.A.
2228706,2219999,BASELL POLYOLEFINE GMBH
2231128,2220720,BASF SE
2331201,2322698,Bayer AG
2331885,2322698,Bayer Antwerp N.V.
2332106,2322698,BAYER B.V.
2332107,2322698,Bayer B.V.
2332108,2322698,Bayer B.V.
2962577,2943561,BIOMERIEUX B. V.
2962578,2943561,BIOMERIEUX B.V
2962580,2943561,BIOMERIEUX B.V.
2962582,2943561,BIOMERIEUX BV
2962583,2943561,"Biomerieux, B.V."
2962584,2943561,Biomerieux B.V.
2962585,2943561,"bioMerieux, B.V."
2962586,2943561,"bioMerieux, B.V."
2962587,2943561,"bioMerieux, B.V."
2962588,2943561,bioMerieux B.V
2962589,2943561,bioMerieux B.V.
2962590,2943561,bioMerieux B.V.
2962591,2943561,bioMerieux B.V.
2962592,2943561,bioMérieux BV
2962593,2943561,"BIOMERIEUX B.V., BOXTEL"
3400399,28616853,BOSCH GMBH ROBERT
4198600,4189955,"C. VAN DER LELY, N.V."
4198602,4189955,C. VAN DER LELY N.V
4198606,4189955,C. VAN DER LELY N.V.
4198607,4189955,C. VAN DER LELY N.V.
4198616,4189955,"C. Van Der Lely, N.V."
4198620,4189955,"C. van der Lely, N.V."
4198621,4189955,"C. van der Lely, N.V."
4198623,4189955,C. van der Lely N.V.
4198625,4189955,C. van der Lely N.V.
4198626,4189955,C. van der Lely N.V.
4198627,4189955,C. van der Lely N.V.
4198639,4189955,"C. VAN DER LELY N.V., MAASLAND"
4198646,4189955,"C. VAN DER LELY N.V., MAASLAND, NL"
4198707,4189955,C. vander Lely N.V.
4332189,4333661,CANON EUROPA N. V.
4332190,4333661,Canon Europa N. V.
4332191,4333661,"CANON EUROPA, NV"
4332193,4333661,CANON EUROPA N.V
4332195,4333661,CANON EUROPA N.V.
4332196,4333661,CANON EUROPA N.V.
4332197,4333661,CANON EUROPA N.V.
4332198,4333661,CANON EUROPA N.V.
4332199,4333661,CANON EUROPA N.V.
4332200,4333661,CANON EUROPA N.V.
4332201,4333661,CANON EUROPA N.V.
4332202,4333661,CANON EUROPA N.V.
4332205,4333661,CANON EUROPA NV
4332206,4333661,CANON EUROPA NV
4332207,4333661,CANON EUROPA NV
4332208,4333661,"Canon Europa, N.V."
4332209,4333661,"Canon Europa, N.V."
4332210,4333661,"Canon Europa, NV"
4332212,4333661,Canon Europa N.V.
4332213,4333661,Canon Europa N.V.
4332214,4333661,Canon Europa N.V.
4332215,4333661,Canon Europa N.V.
4332216,4333661,Canon Europa NV
4332219,4333661,CANON EUROPA NV NAAMLOOZE VENNOOTSCHAP
4390383,4392175,"CARGILL, B. V."
4390387,4392175,"CARGILL, B.V"
4390390,4392175,CARGILL B.V.
4390391,4392175,CARGILL B.V.
4390392,4392175,CARGILL B.V.
4390393,4392175,CARGILL B.V.
4390394,4392175,"CARGILL B.V.,"
4390395,4392175,CARGILL BV
4390396,4392175,CARGILL BV.
4390397,4392175,"Cargill, B.V."
4390398,4392175,Cargill B.V.
4390399,4392175,Cargill B.V.
4390400,4392175,Cargill B.V.
4390401,4392175,Cargill BV
4390403,4392175,"CARGILL B.V., BERGEN OP ZOOM"
4390404,4392175,"CARGILL B.V., BERGEN OP ZOOM, NL"
4390782,4392175,CARGILL N.V.
4445095,4417400,CARLZEISS SMT AG
5178463,5178357,CHIRON BV
5178464,5178357,CHIRON BV
5178465,5178357,Chiron BV
5178820,5178357,CHIRON SRL
6229488,7651088,D S M IP Assets B.V.
6229490,7650783,D S M N. V.
6229492,7650783,D S M N.V.
6229494,7650783,D S M NV
6230069,7650783,D SM N. V.
7486482,34033535,DOW CHEMICAL CO
7651140,7650783,DSM
7651141,7650783,DSM
7651158,7650783,DSM B. V.
7651166,7650783,DSM B.V.
7651167,7650783,DSM B.V.
7651186,7650783,"DSM CO., LTD."
7651207,7650783,DSM CORP.
7651313,7651088,DSM I P ESSETS B.V.
7651317,7651088,DSM IP ASSESTS B. V.
7651320,7651088,DSM IP ASSESTS B.V.
7651321,7651088,DSM IP ASSESTS B.V.
7651322,7651088,DSM IP ASSESTS B.V.
7651323,7651088,DSM IP Assests B.V.
7651324,7651088,DSM IP Assests B.V.
7651329,7651088,DSM IP ASSETS
7651331,7651088,DSM IP ASSETS B.
7651333,7651088,DSM IP ASSETS B. V.
7651334,7651088,DSM IP ASSETS B V
7651335,7651088,DSM IP Assets B. V.
7651336,7651088,DSM IP Assets B. V.
7651338,7651088,D.S.M. IP ASSETS B.V.
7651339,7651088,DSM I.P. Assets B.V.
7651340,7651088,DSM I.P. Assets B.V.
7651341,7651088,"DSM IP, ASSETS, B.V."
7651344,7651088,"DSM IP ASSETS, B.V."
7651345,7651088,DSM IP ASSETS. B.V.
7651347,7651088,DSM IP ASSETS B.V
7651348,7651088,DSM IP ASSETS B.V
7651350,7651088,"DSM IP ASSETS B.V,"
7651355,7651088,DSM IP ASSETS B.V.
7651356,7651088,DSM IP ASSETS B.V.
7651357,7651088,DSM IP ASSETS B.V.
7651358,7651088,DSM IP ASSETS B.V.
7651359,7651088,DSM IP ASSETS B.V.
7651360,7651088,DSM IP ASSETS B.V.
7651361,7651088,DSM IP ASSETS B.V.
7651362,7651088,DSM IP ASSETS B.V.
7651363,7651088,DSM IP ASSETS B.V.
7651364,7651088,DSM IP ASSETS B.V.
7651365,7651088,DSM IP ASSETS B.V.
7651366,7651088,DSM IP ASSETS B.V.
7651367,7651088,DSM IP ASSETS B.V.
7651368,7651088,DSM IP ASSETS B.V.
7651369,7651088,DSM IP ASSETS B.V.
7651370,7651088,DSM IP ASSETS B.V.
7651371,7651088,DSM IP ASSETS B.V.
7651372,7651088,DSM IP ASSETS B.V.
7651373,7651088,DSM IP ASSETS B.V.
7651374,7651088,DSM IP ASSETS B.V.
7651375,7651088,DSM IP ASSETS B.V.
7651376,7651088,DSM IP ASSETS B.V.
7651378,7651088,"DSM IP ASSETS B.V.,"
7651379,7651088,"DSM IP ASSETS B.V.,"
7651380,7651088,"DSM IP ASSETS B.V.,"
7651381,7651088,"DSM IP ASSETS B.V.,"
7651383,7651088,DSM IP ASSETS B.V..
7651387,7651088,DSM IP ASSETS BV
7651388,7651088,DSM IP ASSETS BV.
7651389,7651088,"DSM IP Assets, B.V."
7651390,7651088,DSM IP Assets B.V
7651391,7651088,DSM IP Assets B.V
7651393,7651088,DSM IP Assets B.V.
7651394,7651088,DSM IP Assets B.V.
7651395,7651088,DSM IP Assets B.V.
7651396,7651088,DSM IP Assets B.V.
7651397,7651088,DSM IP Assets B.V.
7651398,7651088,DSM IP Assets B.V.
7651399,7651088,DSM IP Assets B.V.
7651400,7651088,DSM IP Assets B.V.
7651401,7651088,DSM IP Assets B.V.
7651402,7651088,DSM IP Assets B.V.
7651403,7651088,DSM IP Assets B.V.
7651404,7651088,DSM IP Assets B.V.
7651405,7651088,DSM IP Assets B.V.
7651406,7651088,DSM IP Assets B.V.
7651407,7651088,DSM IP Assets B.V.
7651408,7651088,DSM IP Assets B.V.
7651409,7651088,DSM IP Assets B.V.
7651410,7651088,DSM IP Assets B.V.
7651411,7651088,DSM IP Assets B.V.
7651412,7651088,DSM IP Assets B.V.
7651413,7651088,DSM IP Assets B.V.
7651414,7651088,DSM IP Assets B.V.
7651415,7651088,DSM IP Assets B.V.
7651416,7651088,DSM IP Assets B.V.
7651417,7651088,DSM IP Assets B.V.
7651418,7651088,DSM IP Assets B.V.
7651419,7651088,DSM IP Assets B.V.
7651420,7651088,DSM IP Assets B.V.
7651421,7651088,DSM IP Assets B.V.
7651422,7651088,DSM IP Assets B.V.
7651423,7651088,DSM IP Assets B.V.
7651424,7651088,DSM IP Assets B.V.
7651425,7651088,"DSM IP Assets B.V.,"
7651426,7651088,DSM IP Assets BV
7651427,7651088,DSM IP assets B.V.
7651428,7651088,DSM Ip Assets B.V.
7651431,7651088,"DSM IP ASSETS B.V., HEERLEN"
7651436,7651088,"DSM IP ASSETS B.V., TE HEERLEN"
7651439,7651088,"DSM IP ASSETS CO., LTD."
7651440,7651088,DSM IP ASSETS N. V.
7651441,7651088,DSM IP ASSETS N.V.
7651451,7651088,DSM I.P. ESSETS B.V.
7651453,7651088,DSM IP ESSETS B.V.
7651483,7650783,DSM LTD.
7651509,7650783,"DSM, N. V."
7651512,7650783,DSM N. V.
7651513,7650783,DSM N. V.
7651514,7650783,DSM N. V.
7651527,7650783,D.S.M. N.V.
7651528,7650783,D.S.M. N.V.
7651529,7650783,"DSM, N.V"
7651530,7650783,"DSM, N.V."
7651531,7650783,"DSM, N.V."
7651532,7650783,"DSM, N.V."
7651533,7650783,"DSM, N.V."
7651534,7650783,"DSM, N.V."
7651535,7650783,DSM. N.V.
7651536,7650783,DSM. N.V.
7651537,7650783,DSM. NV
7651538,7650783,DSM. NV.
7651539,7650783,"DSM N,V."
7651540,7650783,DSM N..V
7651543,7650783,DSM N.V
7651544,7650783,DSM N.V
7651545,7650783,DSM N.V
7651546,7650783,DSM N.V
7651548,7650783,"DSM N.V,"
7651549,7650783,"DSM N.V,,"
7651559,7650783,DSM N.V.
7651560,7650783,DSM N.V.
7651561,7650783,DSM N.V.
7651562,7650783,DSM N.V.
7651563,7650783,DSM N.V.
7651564,7650783,DSM N.V.
7651565,7650783,DSM N.V.
7651566,7650783,DSM N.V.
7651567,7650783,DSM N.V.
7651568,7650783,DSM N.V.
7651569,7650783,DSM N.V.
7651570,7650783,DSM N.V.
7651571,7650783,DSM N.V.
7651572,7650783,DSM N.V.
7651573,7650783,DSM N.V.
7651574,7650783,DSM N.V.
7651575,7650783,DSM N.V.
7651576,7650783,DSM N.V.
7651577,7650783,DSM N.V.
7651578,7650783,DSM N.V.
7651579,7650783,DSM N.V.
7651580,7650783,DSM N.V.
7651581,7650783,DSM N.V.
7651582,7650783,DSM N.V.
7651583,7650783,DSM N.V.
7651584,7650783,DSM N.V.
7651585,7650783,DSM N.V.
7651586,7650783,DSM N.V.
7651587,7650783,DSM N.V.
7651588,7650783,DSM N.V.
7651589,7650783,DSM N.V.
7651590,7650783,DSM N.V.
7651591,7650783,DSM N.V.
7651592,7650783,DSM N.V.
7651593,7650783,DSM N.V.
7651594,7650783,DSM N.V.
7651598,7650783,"DSM N.V.,"
7651599,7650783,"DSM N.V.,"
7651602,7650783,"DSM N.V.,"
7651603,7650783,"DSM N.V.,,"
7651608,7650783,DSM NV
7651609,7650783,DSM NV
7651610,7650783,DSM NV
7651612,7650783,DSM NV.
7651621,7650783,"DSM N.V., HEERLEN"
7651622,7650783,"DSM NV, HEERLEN"
7651623,7650783,"DSM N.V., HEERLEN, NL"
